카테고리,글제목,게임이름,출시일,가격,링크,한글화,플레이타임,게시글링크
게임,[게임]뱀서 공식 멀티 업데이트됨,뱀파이어 서바이버,(),-,https://store.steampowered.com/app/1794680/Vampire_Survivors/,-,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15807
게임,[게임](공포?)4인 멀티 게임 미메시스,미메시스,(),"할인중 8,800",https://store.steampowered.com/app/2827200/_/,O,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15787
게임,[게임]합방용 멀티 게임 방 탈출 시뮬레이터2,게임 방 탈출 시뮬레이터2,(),"17,910(할인)",https://store.steampowered.com/app/2879840/__2/,O,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15786
공겜,[공겜]ZORT,ZORT,2024년 12월 8일,4490원,-,O,한 챕터 2시간 정도 (총 3챕터까지 있음),https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15724
게임,[게임]캠핑을 즐겼으면 집을 가볼까? (RV There Yet?),RV There Yet?,(),"할인 안하는  원가 8,900원",https://store.steampowered.com/app/3949040/RV_There_Yet/,은 없지만 없어도 쌉가능,못깨봐서..몰룽... 나오자마자 해봣는데... 못깻쯤....,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15647
게임,[게임]소울라이크 1인종겜,명말: 공허의 깃털,(),"59,800",https://store.steampowered.com/app/2277560/WUCHANG_Fallen_Feathers/,되어있음,해리님 편하실때,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15554
공겜,[공겜]악마들을 학살하며 탈출하는 슈팅게임,Painkiller,(),"50,000",https://store.steampowered.com/app/2300120/Painkiller/,-,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15530
게임,[게임]e스포츠 팀 시뮬레이션게임,-,-,-,https://store.steampowered.com/app/3009300/Teamfight_Manager_2/,-,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15529
게임,[게임]사무라이 1인종겜,고스트 오브 요테이,(),"79,800",https://www.playstation.com/ko-kr/games/ghost-of-yotei/,되어있음,해리가 편할때,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15292
게임,[게임]쥬라기 월드 1인종겜,쥬라기 월드 에볼루션 3,(),"64,800",https://store.playstation.com/ko-kr/product/EP2377-PPSA25153_00-JWEVOLUTION30000/,o,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15291
게임,[게임]10.16일에 출시하는 Pokémon LEGENDS Z-A,-,(),-,-,-,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15091
게임,[게임]디지몬을 수집하고 육성하는 1인종겜,Digimon Story Time Stranger,(),"69,800",https://store.steampowered.com/app/1984270/Digimon_Story_Time_Stranger/,o,해리님이 편하실때,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=15090
공겜,[공겜]역대급 이토준지 공포게임 나왔다!,-,은 아직 발표예정입니다.,-,-,지원 예정이며,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14973
할 게임,[할 게임]목욕탕 운영하며 느긋하게 플레이 할수있는 1인종겜,몰티즈와 복실복실 온천,(),"5,360",https://store.steampowered.com/app/3404470/_/?l=korean,되어있음,해리가 편할때 가끔씩,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14732
게임,[게임]짧게할수있는 1인 종겜,-,(),-,https://store.steampowered.com/app/3609590/_/?l=koreana,0,2시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14730
게임,[게임]죽음을 반복하며 성장하는 1인종겜,Hades II,(),"32,000",https://store.steampowered.com/app/1145350/Hades_II/,되어있음,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14597
공겜,[공겜]한국의 실제 골목길을 구현한 국산 공포게임,골목길 : 귀흔 (the Alley),10월말 출시예정,미기재,https://store.onstove.com/ko/games/101317,O,미기재,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14382
공겜,[공겜]K팝 아이돌의 삶을 다룬 1인칭 심리 공포 게임 - Sasaeng,Sasaeng 사생,2025년 8월 29일,4700원,https://store.steampowered.com/app/3857420/Sasaeng/,O,1시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14357
공겜,[공겜]학교의 비밀을 풀어내는 공겜,whiteday,(),"32,000",https://store.steampowered.com/app/466130/_/?l=koreana,되어있음,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14333
게임,[게임]SHINOBI 복수의 참격,시노비-복수의 참격,25년 8월 29일,27800원,https://store.steampowered.com/app/2361770/SHINOBI/,O,엔딩까지 대략 9시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14330
공겜,[공겜]버려진 집에서 일어나는 짧은 1인칭 공겜,The Gap,(),-,https://store.steampowered.com/app/2345630/The_Gap/,가능,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14329
할 게임,[할 게임]오늘 발매한 대작 (다잉 라이트 : 더 비스트),Dying Light: The Beast,(),"65,800원",https://store.steampowered.com/app/3008130/Dying_Light_The_Beast/,O,20시간 이상,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14307
게임,[게임]드디어 숲에서도 유행을 타기 시작한 갓필드,갓필드,(),무료,https://godfield.net/?lang=ko,O,일단 전 중독되긴 함,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14105
게임,[게임]힐링게임 - After Us (컨트롤러 필요),-,-,-,https://store.steampowered.com/app/1406810/After_Us/,O,10시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14087
공겜,[공겜]신작 어드벤처 공포게임 - The Midnight Walk,-,-,42000 | (2025년 9월 25일까지 할인) - 27300,https://store.steampowered.com/app/2863640/The_Midnight_Walk/,O,4시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14086
할 게임,[할 게임]저승버전 통관게임 Peace Death,Peace Death,(),"5,500원",https://store.steampowered.com/app/588690/Peace_Death/?l=koreana,O,찾아보니 2시간 정도인 것 같네요,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14085
할 게임,[할 게임]10일 전에 정식 출시한 뱀서류 신작 [자인언트 슬레이어: 저승의 물결],자인언트 슬레이어: 저승의 물결,(),-,-,O,일반 난이도,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14084
할 게임,[할 게임]이집트 유적을 탐험하며 유물을 수집하고 악으로부터 생존하는 4인공겜,FOREWARNED,(),"13,500",https://store.steampowered.com/app/1562420/FOREWARNED/?l=koreana&curator_clanid=34786916&curator_listid=64299,되어있음,10시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14078
게임,"[게임]4인용 공포게임과 1인용 공포게임 둘다 찾았습니다. 우선, 4인용",파니코어< PANICORE >,(),5600원,https://store.steampowered.com/app/2695940/PANICORE/,필요없어요.,챕터가 3개정도 있고 난이도도 설정할수있습니다. 노말 난이도로 3시간정도 했던것같습니다.,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=14072
